stage,model_path,file_size_bytes,file_size_mb,parameter_count,accuracy,precision,recall,f1_score,avg_latency_ms,min_latency_ms,max_latency_ms,samples_per_second,compression_ratio
Original,models/tflite/saved_model_original.tflite,215612,0.20562362670898438,53844,0.2601,0.0296093306152458,0.6131487889273356,0.05649069115021678,0.45952796936035156,0.43892860412597656,0.49805641174316406,217614.6103559199,1.0
Compressed,models/tflite/saved_model_pruned_quantized.tflite,21648,0.0206451416015625,18772,0.03835,0.036205557365137434,1.0,0.06988103298191314,0.6920099258422852,0.6682872772216797,0.7429122924804688,144506.59776055123,9.95990391722099
