stage,model_path,file_size_bytes,file_size_mb,parameter_count,accuracy,precision,recall,f1_score,precision_normal,recall_normal,avg_latency_ms,min_latency_ms,max_latency_ms,samples_per_second,compression_ratio
Original,models/tflite/saved_model_original.tflite,821632,0.7835693359375,205777,0.578309325338793,0.27305577109327656,0.8273725759395916,0.4106016667305424,0.9336753196231118,0.524548626803085,2.1683216094970703,2.019166946411133,2.5506019592285156,46118.61984034482,1.0
QAT+Prune only,models/tflite/saved_model_qat_pruned_float32.tflite,248228,0.23672866821289062,61969,0.8541270595690748,0.5491435003452484,0.9963274412218981,0.7080388557908666,0.9990382152150757,0.8234328811575305,0.848698616027832,0.8335113525390625,0.9207725524902344,117827.45737000309,3.3099892034742253
Compressed (PTQ),models/tflite/saved_model_pruned_quantized.tflite,70920,0.06763458251953125,61969,0.8547181193331383,0.5501768157987049,0.9958984039814656,0.7087885579583137,0.9989270338096585,0.8242441304814895,0.5384922027587891,0.5304813385009766,0.5793571472167969,185703.71026299478,11.585335589396504
QAT+PTQ,models/tflite/saved_model_qat_ptq.tflite,70904,0.06761932373046875,61969,0.8547181193331383,0.5501768157987049,0.9958984039814656,0.7087885579583137,0.9989270338096585,0.8242441304814895,0.5445480346679688,0.5266666412353516,0.5877017974853516,183638.5288966725,11.587949904095678
noQAT+PTQ,models/tflite/saved_model_no_qat_ptq.tflite,70920,0.06763458251953125,61969,0.8224688017938968,0.0,0.0,0.0,0.8224688017938968,1.0,0.5377292633056641,0.5295276641845703,0.5896091461181641,185967.189855458,11.585335589396504
