stage,model_path,file_size_bytes,file_size_mb,parameter_count,accuracy,precision,recall,f1_score,precision_normal,recall_normal,avg_latency_ms,min_latency_ms,max_latency_ms,samples_per_second,compression_ratio
Original,models/tflite/saved_model_original.tflite,821632,0.7835693359375,205777,0.8970306863605343,0.6573968074296078,0.8770894113609061,0.7515163991677266,0.9714070129071666,0.9013350422664602,1.9083023071289062,1.8832683563232422,2.0296573638916016,52402.59870064968,1.0
QAT+Prune only,models/tflite/saved_model_qat_pruned_float32.tflite,248228,0.23672866821289062,61969,0.7001498976308862,0.37145729544202966,0.995520851209885,0.5410378854296853,0.9984830696625556,0.6363936077998473,0.7742881774902344,0.759124755859375,0.8535385131835938,129150.8806503264,3.3099892034742253
Compressed (PTQ),models/tflite/saved_model_pruned_quantized.tflite,70920,0.06763458251953125,61969,0.6991810470897923,0.37068756151496174,0.9953663978033294,0.5401981968556739,0.9984280208199909,0.6352489683427547,0.4811525344848633,0.47206878662109375,0.5216598510742188,207834.2995887221,11.585335589396504
QAT+PTQ,models/tflite/saved_model_qat_ptq.tflite,70904,0.06761932373046875,61969,0.6991810470897923,0.37068756151496174,0.9953663978033294,0.5401981968556739,0.9984280208199909,0.6352489683427547,0.49262046813964844,0.47707557678222656,0.5826950073242188,202996.03136192044,11.587949904095678
noQAT+PTQ,models/tflite/saved_model_no_qat_ptq.tflite,70920,0.06763458251953125,61969,0.8224688017938968,0.0,0.0,0.0,0.8224688017938968,1.0,0.4885435104370117,0.4734992980957031,0.5669593811035156,204690.05905031477,11.585335589396504
