group,mean_f1,mean_acc,mean_size_kb,size_pct
10x5,0.8023303706705053,0.92606485482413,201.6083984375,39.590265006453045
10x2,0.861250877611263,0.9479865105144478,350.0810546875,68.7461526217785
5x10,0.8698776250660439,0.9538226624350608,203.4912109375,39.95999685497805
No Pruning,0.6028963757440041,0.8812940171449574,509.2373046875,100.0
