stage,model_path,file_size_bytes,file_size_mb,parameter_count,accuracy,precision,recall,f1_score,precision_normal,recall_normal,avg_latency_ms,min_latency_ms,max_latency_ms,samples_per_second,compression_ratio
Original,models/tflite/saved_model_original.tflite,821632,0.7835693359375,205777,0.6059215657599688,0.3104215344237109,0.9986442423202334,0.47362123974475845,0.9994387849338618,0.5211517517799329,1.9022464752197266,1.886129379272461,1.9915103912353516,52569.42320707894,1.0
QAT+Prune only,models/tflite/saved_model_qat_pruned_float32.tflite,248228,0.23672866821289062,61969,0.6984742127327679,0.3703901861122788,0.9979749442251588,0.5402653387342525,0.9993108362243169,0.6338265037747172,0.7605791091918945,0.7488727569580078,0.8013248443603516,131478.7624212407,3.3099892034742253
Compressed (PTQ),models/tflite/saved_model_pruned_quantized.tflite,70920,0.06763458251953125,61969,0.7002748123232914,0.37179134726653157,0.997992105714776,0.5417569160110488,0.999319019154769,0.6360120613141498,0.4815101623535156,0.4742145538330078,0.5331039428710938,207679.9366211131,11.585335589396504
QAT+PTQ,models/tflite/saved_model_qat_ptq.tflite,70904,0.06761932373046875,61969,0.7002748123232914,0.37179134726653157,0.997992105714776,0.5417569160110488,0.999319019154769,0.6360120613141498,0.4793405532836914,0.4718303680419922,0.5223751068115234,208619.94528724198,11.587949904095678
noQAT+PTQ,models/tflite/saved_model_no_qat_ptq.tflite,70920,0.06763458251953125,61969,0.8224688017938968,0.0,0.0,0.0,0.8224688017938968,1.0,0.48835277557373047,0.4794597625732422,0.5288124084472656,204770.0043938876,11.585335589396504
