stage,model_path,file_size_bytes,file_size_mb,parameter_count,accuracy,precision,recall,f1_score,precision_normal,recall_normal,avg_latency_ms,min_latency_ms,max_latency_ms,samples_per_second,compression_ratio
Original,models/tflite/saved_model_original.tflite,821632,0.7835693359375,205777,0.8881556498001365,0.6142941962297759,0.9943195469366741,0.7594175164495242,0.9985849016271494,0.8652400038525082,2.0778417587280273,1.8887519836425781,2.2766590118408203,48126.86027699051,1.0
QAT+Prune only,models/tflite/saved_model_qat_pruned_float32.tflite,248228,0.23672866821289062,61969,0.8422205566929901,0.5409523328237716,0.7348206624334992,0.6231562402217969,0.9379614648032087,0.8654029945842625,0.7919788360595703,0.7474422454833984,0.8733272552490234,126266.00036124993,3.3099892034742253
Compressed (PTQ),models/tflite/saved_model_pruned_quantized.tflite,70920,0.06763458251953125,61969,0.8424033586818758,0.5413658376218595,0.7347691779646474,0.6234119848278573,0.9379658581423073,0.8656363676774561,0.4742145538330078,0.46706199645996094,0.5097389221191406,210875.0125691302,11.585335589396504
QAT+PTQ,models/tflite/saved_model_qat_ptq.tflite,70904,0.06761932373046875,61969,0.8424033586818758,0.5413658376218595,0.7347691779646474,0.6234119848278573,0.9379658581423073,0.8656363676774561,0.4827260971069336,0.46706199645996094,0.5583763122558594,207156.81335506495,11.587949904095678
noQAT+PTQ,models/tflite/saved_model_no_qat_ptq.tflite,70920,0.06763458251953125,61969,0.8224688017938968,0.0,0.0,0.0,0.8224688017938968,1.0,0.4736185073852539,0.4661083221435547,0.5092620849609375,211140.3976843695,11.585335589396504
