stage,model_path,file_size_bytes,file_size_mb,parameter_count,accuracy,precision,recall,f1_score,precision_normal,recall_normal,avg_latency_ms,min_latency_ms,max_latency_ms,samples_per_second,compression_ratio
Original,models/tflite/saved_model_original.tflite,821632,0.7835693359375,205777,0.28105501121185533,0.18757581831031972,0.9154968251244208,0.3113576737765819,0.8876491660391996,0.1441097372144884,1.9431829452514648,1.9140243530273438,2.0399093627929688,51461.95845551698,1.0
QAT+Prune only,models/tflite/saved_model_qat_pruned_float32.tflite,248228,0.23672866821289062,61969,0.9291520425075558,0.8830904555599317,0.6926205594645615,0.7763436309775709,0.9366031671869801,0.9802077390962904,0.7611751556396484,0.7498264312744141,0.8127689361572266,131375.80655265303,3.3099892034742253
Compressed (PTQ),models/tflite/saved_model_pruned_quantized.tflite,70920,0.06763458251953125,61969,0.9280339036755386,0.878041329347328,0.6905440192208684,0.7730866403450628,0.936146630452873,0.9792964727323914,0.47762393951416016,0.47016143798828125,0.5259513854980469,209369.73992911694,11.585335589396504
QAT+PTQ,models/tflite/saved_model_qat_ptq.tflite,70904,0.06761932373046875,61969,0.9280339036755386,0.878041329347328,0.6905440192208684,0.7730866403450628,0.936146630452873,0.9792964727323914,0.5051374435424805,0.4711151123046875,0.6098747253417969,197965.92249964603,11.587949904095678
noQAT+PTQ,models/tflite/saved_model_no_qat_ptq.tflite,70920,0.06763458251953125,61969,0.8224688017938968,0.0,0.0,0.0,0.8224688017938968,1.0,0.4792928695678711,0.4706382751464844,0.5297660827636719,208640.7003929762,11.585335589396504
