stage,model_path,file_size_bytes,file_size_mb,parameter_count,accuracy,precision,recall,f1_score,precision_normal,recall_normal,avg_latency_ms,min_latency_ms,max_latency_ms,samples_per_second,compression_ratio
Original,models/tflite/saved_model_original.tflite,821632,0.7835693359375,205777,0.7726034659257093,0.42945684312153576,0.8549854127338253,0.5717335047080223,0.9601822662651908,0.7548211917585959,2.193140983581543,2.1114349365234375,2.572774887084961,45596.703882070295,1.0
QAT+Prune only,models/tflite/saved_model_qat_pruned_float32.tflite,248228,0.23672866821289062,61969,0.9026914546163596,0.7296802219082011,0.7177964647331389,0.7236895606059295,0.9392993063938014,0.9426013320787986,0.8383989334106445,0.8263587951660156,0.8914470672607422,119274.96089862079,3.3099892034742253
Compressed (PTQ),models/tflite/saved_model_pruned_quantized.tflite,70920,0.06763458251953125,61969,0.9032642341815346,0.7314735610914233,0.7190835764544362,0.7252256540288872,0.9395846328167387,0.9430199219126222,0.5438804626464844,0.5347728729248047,0.5981922149658203,183863.9312642469,11.585335589396504
QAT+PTQ,models/tflite/saved_model_qat_ptq.tflite,70904,0.06761932373046875,61969,0.9032642341815346,0.7314735610914233,0.7190835764544362,0.7252256540288872,0.9395846328167387,0.9430199219126222,0.6853818893432617,0.5311965942382812,0.8041858673095703,145904.05955404043,11.587949904095678
noQAT+PTQ,models/tflite/saved_model_no_qat_ptq.tflite,70920,0.06763458251953125,61969,0.8224688017938968,0.0,0.0,0.0,0.8224688017938968,1.0,0.5410194396972656,0.5319118499755859,0.5917549133300781,184836.2418473471,11.585335589396504
