stage,model_path,file_size_bytes,file_size_mb,parameter_count,accuracy,precision,recall,f1_score,precision_normal,recall_normal,avg_latency_ms,min_latency_ms,max_latency_ms,samples_per_second,compression_ratio
Original,models/tflite/saved_model_original.tflite,821632,0.7835693359375,205777,0.3631391976211368,0.21565202958849958,0.9811223614209713,0.35358548796590933,0.9825731531502986,0.22974654941212205,1.9968748092651367,1.8780231475830078,2.3620128631591797,50078.25204465405,1.0
QAT+Prune only,models/tflite/saved_model_qat_pruned_float32.tflite,248228,0.23672866821289062,61969,0.8093984595885737,0.4818549410391324,0.9775527715805732,0.6455202737925251,0.9937717251559449,0.7731020840587656,0.7711410522460938,0.7472038269042969,0.8807182312011719,129677.96190947318,3.3099892034742253
Compressed (PTQ),models/tflite/saved_model_pruned_quantized.tflite,70920,0.06763458251953125,61969,0.8034086477527542,0.4743383595583048,0.9922601681825982,0.6418485379987123,0.9978141811660931,0.7626447468828023,0.4948854446411133,0.4687309265136719,0.6651878356933594,202066.965361083,11.585335589396504
QAT+PTQ,models/tflite/saved_model_qat_ptq.tflite,70904,0.06761932373046875,61969,0.8034086477527542,0.4743383595583048,0.9922601681825982,0.6418485379987123,0.9978141811660931,0.7626447468828023,0.47783851623535156,0.46944618225097656,0.5273818969726562,209275.72098592954,11.587949904095678
noQAT+PTQ,models/tflite/saved_model_no_qat_ptq.tflite,70920,0.06763458251953125,61969,0.8224688017938968,0.0,0.0,0.0,0.8224688017938968,1.0,0.47478675842285156,0.4673004150390625,0.5254745483398438,210620.8697398815,11.585335589396504
