stage,model_path,file_size_bytes,file_size_mb,parameter_count,accuracy,precision,recall,f1_score,precision_normal,recall_normal,avg_latency_ms,min_latency_ms,max_latency_ms,samples_per_second,compression_ratio
Original,models/tflite/saved_model_original.tflite,821560,0.7835006713867188,205777,0.9155332943355757,0.7199072740885791,0.8580573193753218,0.7829348115438217,0.9680375001932203,0.9279395748905369,1.8652915954589844,1.8410682678222656,1.9512176513671875,53610.920803722074,1.0
QAT+Prune only,models/tflite/saved_model_qat_pruned_float32.tflite,248156,0.23666000366210938,61969,0.9317630642488057,0.9029678057109478,0.6897545906984727,0.7820900750138644,0.9362806780091149,0.9840009779443906,0.7592201232910156,0.7462501525878906,0.8146762847900391,131714.10626805678,3.310659423910766
Compressed (PTQ),models/tflite/saved_model_pruned_quantized.tflite,70856,0.06757354736328125,61969,0.931872745442137,0.903154822050073,0.6902694353869916,0.7824911239725695,0.9363810369806372,0.9840232039532661,0.48851966857910156,0.4706382751464844,0.5354881286621094,204700.04880429475,11.594783786835272
QAT+PTQ,models/tflite/saved_model_qat_ptq.tflite,70848,0.06756591796875,61969,0.931872745442137,0.903154822050073,0.6902694353869916,0.7824911239725695,0.9363810369806372,0.9840232039532661,0.4766702651977539,0.4673004150390625,0.5393028259277344,209788.62601910668,11.596093044263776
Compressed (QAT),models/tflite/saved_model_pruned_qat.tflite,66600,0.06351470947265625,62048,0.8905564492541679,0.8294221698113208,0.4828213488930839,0.6103481939472828,0.8976024790692617,0.9785667187743097,0.47795772552490234,0.4711151123046875,0.5235671997070312,209223.52471691524,12.335735735735735
noQAT+PTQ,models/tflite/saved_model_no_qat_ptq.tflite,70856,0.06757354736328125,61969,0.2203982645997855,0.18548227939163595,1.0,0.31292290507593495,1.0,0.05211999081324967,0.4759073257446289,0.4658699035644531,0.5342960357666016,210124.9436400982,11.594783786835272
