stage,model_path,file_size_bytes,file_size_mb,parameter_count,accuracy,precision,recall,f1_score,precision_normal,recall_normal,avg_latency_ms,min_latency_ms,max_latency_ms,samples_per_second,compression_ratio
Original,models/tflite/saved_model_original.tflite,821632,0.7835693359375,205777,0.8874183484449644,0.6123655913978494,0.996893770379269,0.7586886958793182,0.9992243876519086,0.8637879046059699,1.961064338684082,1.8868446350097656,2.198934555053711,50992.71759084775,1.0
QAT+Prune only,models/tflite/saved_model_qat_pruned_float32.tflite,248228,0.23672866821289062,61969,0.778730379253193,0.4419048852342258,0.9370173331045135,0.6005741753104616,0.9820685207262494,0.7445638886625129,0.7328271865844727,0.7166862487792969,0.8130073547363281,136457.8195659954,3.3099892034742253
Compressed (PTQ),models/tflite/saved_model_pruned_quantized.tflite,70920,0.06763458251953125,61969,0.7785628107633811,0.44172617651578255,0.9373434014072421,0.6004760360380169,0.9821532445313454,0.7442897678863807,0.5533933639526367,0.5376338958740234,0.5948543548583984,180703.2872345009,11.585335589396504
QAT+PTQ,models/tflite/saved_model_qat_ptq.tflite,70904,0.06761932373046875,61969,0.7785628107633811,0.44172617651578255,0.9373434014072421,0.6004760360380169,0.9821532445313454,0.7442897678863807,0.4822731018066406,0.47469139099121094,0.5240440368652344,207351.39410717817,11.587949904095678
noQAT+PTQ,models/tflite/saved_model_no_qat_ptq.tflite,70920,0.06763458251953125,61969,0.8224688017938968,0.0,0.0,0.0,0.8224688017938968,1.0,0.4837512969970703,0.4734992980957031,0.5421638488769531,206717.79201577132,11.585335589396504
