stage,model_path,file_size_bytes,file_size_mb,parameter_count,accuracy,precision,recall,f1_score,precision_normal,recall_normal,avg_latency_ms,min_latency_ms,max_latency_ms,samples_per_second,compression_ratio
Original,models/tflite/saved_model_original.tflite,821632,0.7835693359375,205777,0.8882104903968022,0.6485310718907459,0.808443452891711,0.7197115531518318,0.9563278113824701,0.9054283322343807,1.8997430801391602,1.8808841705322266,1.9922256469726562,52638.69680350397,1.0
QAT+Prune only,models/tflite/saved_model_qat_pruned_float32.tflite,248228,0.23672866821289062,61969,0.32677988203178315,0.2086423953725757,0.9997254161661232,0.3452344618119861,0.9996735959525899,0.18152351882172518,0.7723331451416016,0.7641315460205078,0.8111000061035156,129477.80453170341,3.3099892034742253
Compressed (PTQ),models/tflite/saved_model_pruned_quantized.tflite,70920,0.06763458251953125,61969,0.32635334405771665,0.20853782956559094,0.9997254161661232,0.34509130222294626,0.9996726610609873,0.1810049119479615,0.48117637634277344,0.4730224609375,0.5221366882324219,207824.0015855713,11.585335589396504
QAT+PTQ,models/tflite/saved_model_qat_ptq.tflite,70904,0.06761932373046875,61969,0.32635334405771665,0.20853782956559094,0.9997254161661232,0.34509130222294626,0.9996726610609873,0.1810049119479615,0.529932975769043,0.4851818084716797,0.5652904510498047,188703.10883160122,11.587949904095678
noQAT+PTQ,models/tflite/saved_model_no_qat_ptq.tflite,70920,0.06763458251953125,61969,0.8224688017938968,0.0,0.0,0.0,0.8224688017938968,1.0,0.484466552734375,0.4773139953613281,0.5254745483398438,206412.59842519683,11.585335589396504
