stage,model_path,file_size_bytes,file_size_mb,parameter_count,accuracy,precision,recall,f1_score,precision_normal,recall_normal,avg_latency_ms,min_latency_ms,max_latency_ms,samples_per_second,compression_ratio
Original,models/tflite/saved_model_original.tflite,821632,0.7835693359375,205777,0.3602966266939651,0.19619725869375396,0.8406212459241462,0.31814166764090773,0.881787632697742,0.2566177941427058,1.9195795059204102,1.8696784973144531,2.0623207092285156,52094.74246394992,1.0
QAT+Prune only,models/tflite/saved_model_qat_pruned_float32.tflite,248228,0.23672866821289062,61969,0.3072657697182412,0.2036874789727487,0.9974429380470224,0.33829238622407704,0.9965251865671642,0.1582899308771124,0.7549524307250977,0.7331371307373047,0.8134841918945312,132458.6767724617,3.3099892034742253
Compressed (PTQ),models/tflite/saved_model_pruned_quantized.tflite,70920,0.06763458251953125,61969,0.3062694988788145,0.2034543233299845,0.9974429380470224,0.33797075661232595,0.9964984842431791,0.15707861339339294,0.4819631576538086,0.47278404235839844,0.5211830139160156,207484.73905515706,11.585335589396504
QAT+PTQ,models/tflite/saved_model_qat_ptq.tflite,70904,0.06761932373046875,61969,0.3062694988788145,0.2034543233299845,0.9974429380470224,0.33797075661232595,0.9964984842431791,0.15707861339339294,0.47714710235595703,0.4699230194091797,0.5180835723876953,209578.97366711637,11.587949904095678
noQAT+PTQ,models/tflite/saved_model_no_qat_ptq.tflite,70920,0.06763458251953125,61969,0.8224688017938968,0.0,0.0,0.0,0.8224688017938968,1.0,0.4827737808227539,0.47588348388671875,0.5238056182861328,207136.35241246482,11.585335589396504
