stage,model_path,file_size_bytes,file_size_mb,parameter_count,accuracy,precision,recall,f1_score,precision_normal,recall_normal,avg_latency_ms,min_latency_ms,max_latency_ms,samples_per_second,compression_ratio
Original,models/tflite/saved_model_original.tflite,821632,0.7835693359375,205777,0.9390233499073803,0.7479647394347939,0.9901836279389051,0.852197031238461,0.997721877937264,0.9279803225734755,1.9183874130249023,1.8846988677978516,2.0020008087158203,52127.11432583921,1.0
QAT+Prune only,models/tflite/saved_model_qat_pruned_float32.tflite,248228,0.23672866821289062,61969,0.2070872331090962,0.1829381237775608,1.0,0.3092944932628791,1.0,0.035935752017010304,0.7585287094116211,0.7498264312744141,0.8132457733154297,131834.1662737702,3.3099892034742253
Compressed (PTQ),models/tflite/saved_model_pruned_quantized.tflite,70920,0.06763458251953125,61969,0.20657538754021643,0.18284168677496385,1.0,0.30915665015744337,1.0,0.03531342376849389,0.4750967025756836,0.4673004150390625,0.5195140838623047,210483.46464595775,11.585335589396504
QAT+PTQ,models/tflite/saved_model_qat_ptq.tflite,70904,0.06761932373046875,61969,0.20657538754021643,0.18284168677496385,1.0,0.30915665015744337,1.0,0.03531342376849389,0.47669410705566406,0.46825408935546875,0.5233287811279297,209778.13344003202,11.587949904095678
noQAT+PTQ,models/tflite/saved_model_no_qat_ptq.tflite,70920,0.06763458251953125,61969,0.8224688017938968,0.0,0.0,0.0,0.8224688017938968,1.0,0.48241615295410156,0.4756450653076172,0.5254745483398438,207289.90807551646,11.585335589396504
