stage,model_path,file_size_bytes,file_size_mb,parameter_count,accuracy,precision,recall,f1_score,avg_latency_ms,min_latency_ms,max_latency_ms,samples_per_second,compression_ratio
Keras,models/global_model.h5,884848,0.8438568115234375,208385,0.8224688017938968,0.0,0.0,0.0,266.776442527771,102.54335403442383,1562.2971057891846,374.8456912179949,1.0
Original (TFLite),models/tflite/saved_model_original.tflite,821632,0.7835693359375,205777,0.66331529687043,0.29856708774852314,0.664389909044105,0.4119913161927465,2.3317575454711914,2.295255661010742,2.421855926513672,42886.10545904439,1.0769395544477334
Compressed (PTQ),models/tflite/saved_model_pruned_quantized.tflite,70896,0.0676116943359375,61969,0.739726528224627,0.40472481827622014,0.9899262055946456,0.5745490403099694,0.545501708984375,0.5350112915039062,0.5834102630615234,183317.4825174825,12.480929812683367
