stage,model_path,file_size_bytes,file_size_mb,parameter_count,accuracy,precision,recall,f1_score,avg_latency_ms,min_latency_ms,max_latency_ms,samples_per_second,compression_ratio
Original,models/tflite/saved_model_original.tflite,215612,0.20562362670898438,53844,0.34681259643241685,0.22397667356026307,0.8288546065672671,0.35265688082814156,0.4580974578857422,0.4305839538574219,0.5252361297607422,218294.16050796295,1.0
Compressed,models/tflite/saved_model_pruned_quantized.tflite,21648,0.0206451416015625,18772,0.21618991589798237,0.2149346004306846,0.9995690769628545,0.353793873429769,0.6787776947021484,0.6554126739501953,0.7348060607910156,147323.63891815947,9.95990391722099
