stage,model_path,file_size_bytes,file_size_mb,parameter_count,accuracy,precision,recall,f1_score,precision_normal,recall_normal,avg_latency_ms,min_latency_ms,max_latency_ms,samples_per_second,compression_ratio
Original,models/tflite/saved_model_original.tflite,821652,0.7835884094238281,205777,0.6970239836209418,0.2708889779202279,0.41772781877466963,0.32865263356871854,0.857661263256813,0.7573105047526616,2.163553237915039,2.0825862884521484,2.4764537811279297,46220.263152094856,1.0
QAT+Prune only,models/tflite/saved_model_qat_pruned_float32.tflite,248212,0.23671340942382812,61969,0.926781710051672,0.7913872340425532,0.7979062982666896,0.7946333960006836,0.9563000512108775,0.9545996725368026,0.8396148681640625,0.8256435394287109,0.8823871612548828,119102.22626079054,3.3102831450534222
Compressed (PTQ),models/tflite/saved_model_pruned_quantized.tflite,70920,0.06763458251953125,61969,0.9258951204055766,0.7862841336504242,0.8000343229792346,0.793099635076855,0.9566735456522951,0.9530623735895746,0.5517721176147461,0.5397796630859375,0.5886554718017578,181234.23929481916,11.585617597292725
QAT+PTQ,models/tflite/saved_model_qat_ptq.tflite,70904,0.06761932373046875,61969,0.9258951204055766,0.7862841336504242,0.8000343229792346,0.793099635076855,0.9566735456522951,0.9530623735895746,0.5699634552001953,0.5481243133544922,0.6098747253417969,175449.84522713962,11.58823197562902
noQAT+PTQ,models/tflite/saved_model_no_qat_ptq.tflite,70920,0.06763458251953125,61969,0.8224688017938968,0.0,0.0,0.0,0.8224688017938968,1.0,0.5406618118286133,0.5335807800292969,0.5767345428466797,184958.50421131545,11.585617597292725
