stage,model_path,file_size_bytes,file_size_mb,parameter_count,accuracy,precision,recall,f1_score,precision_normal,recall_normal,avg_latency_ms,min_latency_ms,max_latency_ms,samples_per_second,compression_ratio
Original,models/tflite/saved_model_original.tflite,821632,0.7835693359375,205777,0.7262418348444964,0.3258990584966816,0.5073107945769693,0.39685586940178286,0.8791291607372915,0.7734984478837135,1.9709348678588867,1.9321441650390625,2.0177364349365234,50737.343801033065,1.0
QAT+Prune only,models/tflite/saved_model_qat_pruned_float32.tflite,248228,0.23672866821289062,61969,0.9003790094569563,0.6541782225973712,0.9310279732280762,0.76842776203966,0.9836155796717408,0.8937633819095105,0.7552862167358398,0.7452964782714844,0.8175373077392578,132400.13889327316,3.3099892034742253
Compressed (PTQ),models/tflite/saved_model_pruned_quantized.tflite,70920,0.06763458251953125,61969,0.9005526713463976,0.6547252508421777,0.9305817744980265,0.7686528552494489,0.9835169089212439,0.8940708416989561,0.4736900329589844,0.46539306640625,0.5176067352294922,211108.516206966,11.585335589396504
QAT+PTQ,models/tflite/saved_model_qat_ptq.tflite,70904,0.06761932373046875,61969,0.9005526713463976,0.6547252508421777,0.9305817744980265,0.7686528552494489,0.9835169089212439,0.8940708416989561,0.47664642333984375,0.46706199645996094,0.5204677581787109,209799.11964785916,11.587949904095678
noQAT+PTQ,models/tflite/saved_model_no_qat_ptq.tflite,70920,0.06763458251953125,61969,0.8224688017938968,0.0,0.0,0.0,0.8224688017938968,1.0,0.47490596771240234,0.46753883361816406,0.5168914794921875,210568.0004016266,11.585335589396504
