stage,model_path,file_size_bytes,file_size_mb,parameter_count,accuracy,precision,recall,f1_score,precision_normal,recall_normal,avg_latency_ms,min_latency_ms,max_latency_ms,samples_per_second,compression_ratio
Original,models/tflite/saved_model_original.tflite,821632,0.7835693359375,205777,0.841318733547821,0.5280943774918038,0.9979234597563068,0.6906836282003314,0.9994452416866486,0.8075153544677982,1.8997907638549805,1.8818378448486328,1.9979476928710938,52637.375600818246,1.0
QAT+Prune only,models/tflite/saved_model_qat_pruned_float32.tflite,248228,0.23672866821289062,61969,0.3174021400019499,0.2063840112788214,0.9998627080830617,0.3421450572424384,0.9998258029395753,0.17009194159004867,0.7789134979248047,0.7712841033935547,0.8218288421630859,128383.96082032446,3.3099892034742253
Compressed (PTQ),models/tflite/saved_model_pruned_quantized.tflite,70920,0.06763458251953125,61969,0.3169725553280686,0.20628098003115705,0.9998627080830617,0.3420034633559332,0.9998252664686353,0.1695696303814724,0.4741191864013672,0.46634674072265625,0.5154609680175781,210917.42934727948,11.585335589396504
QAT+PTQ,models/tflite/saved_model_qat_ptq.tflite,70904,0.06761932373046875,61969,0.3169725553280686,0.20628098003115705,0.9998627080830617,0.3420034633559332,0.9998252664686353,0.1695696303814724,0.48058032989501953,0.4734992980957031,0.5233287811279297,208081.75819814458,11.587949904095678
noQAT+PTQ,models/tflite/saved_model_no_qat_ptq.tflite,70920,0.06763458251953125,61969,0.8224688017938968,0.0,0.0,0.0,0.8224688017938968,1.0,0.4765510559082031,0.4673004150390625,0.5280971527099609,209841.10466279768,11.585335589396504
