stage,model_path,file_size_bytes,file_size_mb,parameter_count,accuracy,precision,recall,f1_score,precision_normal,recall_normal,avg_latency_ms,min_latency_ms,max_latency_ms,samples_per_second,compression_ratio
Original,models/tflite/saved_model_original.tflite,821632,0.7835693359375,205777,0.4562432972604075,0.1566502519337774,0.4705852067959499,0.23505460405630133,0.7986068495475852,0.4531475732902643,1.8972396850585938,1.8727779388427734,2.0003318786621094,52708.153212023724,1.0
QAT+Prune only,models/tflite/saved_model_qat_pruned_float32.tflite,248228,0.23672866821289062,61969,0.7510145510383153,0.4161056540060239,0.9981465591213318,0.5873555267184052,0.9994268945645195,0.6976707142698385,0.7377862930297852,0.7302761077880859,0.782012939453125,135540.60429794795,3.3099892034742253
Compressed (PTQ),models/tflite/saved_model_pruned_quantized.tflite,70920,0.06763458251953125,61969,0.7515081164083065,0.4165884754503456,0.9981465591213318,0.5878363696086111,0.9994273868161117,0.6982708165094794,0.48258304595947266,0.4744529724121094,0.5402565002441406,207218.22044365396,11.585335589396504
QAT+PTQ,models/tflite/saved_model_qat_ptq.tflite,70904,0.06761932373046875,61969,0.7515081164083065,0.4165884754503456,0.9981465591213318,0.5878363696086111,0.9994273868161117,0.6982708165094794,0.47185420989990234,0.4642009735107422,0.5152225494384766,211929.86711131321,11.587949904095678
noQAT+PTQ,models/tflite/saved_model_no_qat_ptq.tflite,70920,0.06763458251953125,61969,0.8224688017938968,0.0,0.0,0.0,0.8224688017938968,1.0,0.4769563674926758,0.469207763671875,0.5238056182861328,209662.784303924,11.585335589396504
