stage,model_path,file_size_bytes,file_size_mb,parameter_count,accuracy,precision,recall,f1_score,precision_normal,recall_normal,avg_latency_ms,min_latency_ms,max_latency_ms,samples_per_second,compression_ratio
Baseline,models/tflite/saved_model_original.tflite,817528,0.7796554565429688,204880,0.17841474115238373,0.1774619778824793,0.9980264286940106,0.3013415411400768,0.7788461538461539,0.0015002555991020692,1.8857240676879883,1.8641948699951172,1.9953250885009766,53030.027941790046,1.0
Traditional+PTQ,models/tflite/saved_model_no_qat_ptq.tflite,70856,0.06757354736328125,61969,0.2203982645997855,0.18548227939163595,1.0,0.31292290507593495,1.0,0.05211999081324967,0.4863262176513672,0.4792213439941406,0.5311965942382812,205623.296401608,11.537879643220052
Traditional+QAT,models/tflite/saved_model_traditional_qat.tflite,66600,0.06351470947265625,62048,0.9646369552500731,0.8766486399225119,0.9319375321777931,0.903447989019673,0.9851058476259863,0.9716951776969409,0.48370361328125,0.47779083251953125,0.5228519439697266,206738.17034700315,12.275195195195195
QAT+PTQ,models/tflite/saved_model_qat_ptq.tflite,68624,0.0654449462890625,61520,0.17760127230184264,0.17753970938186517,0.9999656770207654,0.30154191690364246,0.9259259259259259,9.260837031494255e-05,0.47817230224609375,0.4706382751464844,0.5176067352294922,209129.6370163542,11.913149918395897
QAT+QAT,models/tflite/saved_model_pruned_qat.tflite,66600,0.06351470947265625,62048,0.9318605586428781,0.7396062729396062,0.9510039471426119,0.8320882916025376,0.988728735604957,0.9277284278062189,0.48186779022216797,0.4744529724121094,0.522613525390625,207525.802780664,12.275195195195195
