stage,model_path,file_size_bytes,file_size_mb,parameter_count,accuracy,precision,recall,f1_score,avg_latency_ms,min_latency_ms,max_latency_ms,samples_per_second,compression_ratio
Keras,models/global_model.h5,884848,0.8438568115234375,208385,0.8224688017938968,0.0,0.0,0.0,243.5262680053711,97.2433090209961,1512.357473373413,410.63332025354424,1.0
Original (TFLite),models/tflite/saved_model_original.tflite,821632,0.7835693359375,205777,0.8684404552988203,0.6064149399833562,0.7378239231165266,0.6656963465900733,2.3790836334228516,2.2847652435302734,2.636432647705078,42032.99059988376,1.0769395544477334
Compressed (PTQ),models/tflite/saved_model_pruned_quantized.tflite,70896,0.0676116943359375,61969,0.6222792970654187,0.31972497956003315,0.999948515531148,0.48452669524470815,0.5453348159790039,0.5354881286621094,0.5826950073242188,183373.58457570063,12.480929812683367
