stage,model_path,file_size_bytes,file_size_mb,parameter_count,accuracy,precision,recall,f1_score,precision_normal,recall_normal,avg_latency_ms,min_latency_ms,max_latency_ms,samples_per_second,compression_ratio
Original,models/tflite/saved_model_original.tflite,821632,0.7835693359375,205777,0.37764148873939746,0.22147356533218365,0.9961901493049596,0.3623821281085249,0.9966427221172023,0.24412677715462636,1.9313812255859375,1.8603801727294922,2.0308494567871094,51776.41714398578,1.0
QAT+Prune only,models/tflite/saved_model_qat_pruned_float32.tflite,248228,0.23672866821289062,61969,0.8134810373403529,0.4866397347874133,0.9220181911789943,0.6370470498956555,0.9791389299519792,0.7900531201612127,0.7845878601074219,0.7274150848388672,0.8549690246582031,127455.45156193023,3.3099892034742253
Compressed (PTQ),models/tflite/saved_model_pruned_quantized.tflite,70920,0.06763458251953125,61969,0.8138832017159013,0.4872225043528729,0.9220353526686116,0.6375502842021573,0.9791559609455293,0.790538388021663,0.5246400833129883,0.4723072052001953,0.6933212280273438,190606.86207680072,11.585335589396504
QAT+PTQ,models/tflite/saved_model_qat_ptq.tflite,70904,0.06761932373046875,61969,0.8138832017159013,0.4872225043528729,0.9220353526686116,0.6375502842021573,0.9791559609455293,0.790538388021663,0.6263971328735352,0.4749298095703125,1.8270015716552734,159643.13173219658,11.587949904095678
noQAT+PTQ,models/tflite/saved_model_no_qat_ptq.tflite,70920,0.06763458251953125,61969,0.8224688017938968,0.0,0.0,0.0,0.8224688017938968,1.0,0.49004554748535156,0.46896934509277344,0.5483627319335938,204062.66420161526,11.585335589396504
