stage,model_path,file_size_bytes,file_size_mb,parameter_count,accuracy,precision,recall,f1_score,avg_latency_ms,min_latency_ms,max_latency_ms,samples_per_second,compression_ratio
Original,models/tflite/saved_model_original.tflite,821652,0.7835884094238281,205777,0.5362852757993861,0.26570933039017114,0.9279708579537032,0.41312659403448065,2.236509323120117,2.1741390228271484,2.492189407348633,44712.53437946401,1.0
Compressed (PTQ),models/tflite/saved_model_pruned_quantized.tflite,70896,0.0676116943359375,61969,0.9017567124593975,0.6448819007104031,0.98242158544592,0.7786450464967939,0.5518674850463867,0.54168701171875,0.5843639373779297,181202.92046485507,11.589539607312119
