stage,model_path,file_size_bytes,file_size_mb,parameter_count,accuracy,precision,recall,f1_score,precision_normal,recall_normal,avg_latency_ms,min_latency_ms,max_latency_ms,samples_per_second,compression_ratio
Original,models/tflite/saved_model_original.tflite,821632,0.7835693359375,205777,0.9158227308179779,0.7110290775355033,0.8858760940449631,0.788880483536972,0.9739853300733496,0.9222867599665128,2.274298667907715,1.9621849060058594,2.6574134826660156,43969.59880911197,1.0
QAT+Prune only,models/tflite/saved_model_qat_pruned_float32.tflite,248228,0.23672866821289062,61969,0.792349127425173,0.449907780863009,0.7619014930495968,0.5657415194841604,0.9395589555034721,0.7989212977025716,0.7661342620849609,0.7557868957519531,0.8153915405273438,130525.42478371819,3.3099892034742253
Compressed (PTQ),models/tflite/saved_model_pruned_quantized.tflite,70920,0.06763458251953125,61969,0.7923521741249878,0.44986356397277366,0.7610777415479664,0.5654793402656024,0.939375465396289,0.7991028101083888,0.47690868377685547,0.4699230194091797,0.5154609680175781,209683.7474378843,11.585335589396504
QAT+PTQ,models/tflite/saved_model_qat_ptq.tflite,70904,0.06761932373046875,61969,0.7923521741249878,0.44986356397277366,0.7610777415479664,0.5654793402656024,0.939375465396289,0.7991028101083888,0.47676563262939453,0.4699230194091797,0.5197525024414062,209746.6619992999,11.587949904095678
noQAT+PTQ,models/tflite/saved_model_no_qat_ptq.tflite,70920,0.06763458251953125,61969,0.8224688017938968,0.0,0.0,0.0,0.8224688017938968,1.0,0.4719734191894531,0.4649162292480469,0.5090236663818359,211876.33865427357,11.585335589396504
