stage,model_path,file_size_bytes,file_size_mb,parameter_count,accuracy,precision,recall,f1_score,precision_normal,recall_normal,avg_latency_ms,min_latency_ms,max_latency_ms,samples_per_second,compression_ratio
Original,models/tflite/saved_model_original.tflite,821632,0.7835693359375,205777,0.881364555913035,0.6003780207911436,0.9921228762656599,0.7480671061910832,0.9980209801968672,0.8574571964112404,2.1229982376098633,1.9049644470214844,2.3872852325439453,47103.19501375709,1.0
QAT+Prune only,models/tflite/saved_model_qat_pruned_float32.tflite,248228,0.23672866821289062,61969,0.8402798089109876,0.5310845013505753,0.8570447914879011,0.6557936758062822,0.9644305905461378,0.8366610607733169,0.7509231567382812,0.743865966796875,0.7944107055664062,133169.41833883667,3.3099892034742253
Compressed (PTQ),models/tflite/saved_model_pruned_quantized.tflite,70920,0.06763458251953125,61969,0.8397283562445159,0.5300049787608182,0.85864081002231,0.6554355444059448,0.9647724988559723,0.8356460730346652,0.47309398651123047,0.4658699035644531,0.5145072937011719,211374.48974449426,11.585335589396504
QAT+PTQ,models/tflite/saved_model_qat_ptq.tflite,70904,0.06761932373046875,61969,0.8397283562445159,0.5300049787608182,0.85864081002231,0.6554355444059448,0.9647724988559723,0.8356460730346652,0.47631263732910156,0.4706382751464844,0.5159378051757812,209946.1407548303,11.587949904095678
noQAT+PTQ,models/tflite/saved_model_no_qat_ptq.tflite,70920,0.06763458251953125,61969,0.8224688017938968,0.0,0.0,0.0,0.8224688017938968,1.0,0.4796743392944336,0.4725456237792969,0.5156993865966797,208474.77508822508,11.585335589396504
