stage,model_path,file_size_bytes,file_size_mb,parameter_count,accuracy,precision,recall,f1_score,precision_normal,recall_normal,avg_latency_ms,min_latency_ms,max_latency_ms,samples_per_second,compression_ratio
Original,models/tflite/saved_model_original.tflite,821632,0.7835693359375,205777,0.48754813785707324,0.256874930885768,0.9966191865453922,0.40846858569695266,0.9980714446543775,0.3776643428139609,1.8892288208007812,1.8591880798339844,1.9955635070800781,52931.650681474006,1.0
QAT+Prune only,models/tflite/saved_model_qat_pruned_float32.tflite,248228,0.23672866821289062,61969,0.7982962854635859,0.4596726644302125,0.7760082375150164,0.5773493360572012,0.9432161284989602,0.8031071960408069,0.7463693618774414,0.7383823394775391,0.7860660552978516,133981.91982111483,3.3099892034742253
Compressed (PTQ),models/tflite/saved_model_pruned_quantized.tflite,70920,0.06763458251953125,61969,0.8058277274056742,0.4723084098882602,0.7993821863737772,0.5937842592356526,0.9490858093570613,0.8072190076827904,0.4717826843261719,0.4649162292480469,0.5116462707519531,211961.997170002,11.585335589396504
QAT+PTQ,models/tflite/saved_model_qat_ptq.tflite,70904,0.06761932373046875,61969,0.8058277274056742,0.4723084098882602,0.7993821863737772,0.5937842592356526,0.9490858093570613,0.8072190076827904,0.4761219024658203,0.4684925079345703,0.5192756652832031,210030.24536805207,11.587949904095678
noQAT+PTQ,models/tflite/saved_model_no_qat_ptq.tflite,70920,0.06763458251953125,61969,0.8224688017938968,0.0,0.0,0.0,0.8224688017938968,1.0,0.47647953033447266,0.46896934509277344,0.5185604095458984,209872.60445334003,11.585335589396504
