stage,model_path,file_size_bytes,file_size_mb,parameter_count,accuracy,precision,recall,f1_score,precision_normal,recall_normal,avg_latency_ms,min_latency_ms,max_latency_ms,samples_per_second,compression_ratio
Original,models/tflite/saved_model_original.tflite,821632,0.7835693359375,205777,0.46660817003022326,0.1877452815056408,0.6026085464218294,0.28629433346922134,0.8359986968284772,0.4372522726094075,2.2756099700927734,2.1326541900634766,2.626180648803711,43944.261676759634,1.0
QAT+Prune only,models/tflite/saved_model_qat_pruned_float32.tflite,248228,0.23672866821289062,61969,0.7843027932143902,0.4513843073030263,0.9980264286940106,0.6216229216437653,0.9994232322067136,0.7381702067759692,0.9022235870361328,0.8599758148193359,1.027822494506836,110837.27075735955,3.3099892034742253
Compressed (PTQ),models/tflite/saved_model_pruned_quantized.tflite,70920,0.06763458251953125,61969,0.783312615774593,0.4502485251080039,0.9980264286940106,0.6205450510051645,0.999422290542645,0.736966297961875,0.5577325820922852,0.5428791046142578,0.6220340728759766,179297.39665711965,11.585335589396504
QAT+PTQ,models/tflite/saved_model_qat_ptq.tflite,70904,0.06761932373046875,61969,0.783312615774593,0.4502485251080039,0.9980264286940106,0.6205450510051645,0.999422290542645,0.736966297961875,0.5418539047241211,0.5321502685546875,0.5929470062255859,184551.59061908742,11.587949904095678
noQAT+PTQ,models/tflite/saved_model_no_qat_ptq.tflite,70920,0.06763458251953125,61969,0.8224688017938968,0.0,0.0,0.0,0.8224688017938968,1.0,0.5450010299682617,0.5357265472412109,0.5919933319091797,183485.8917712936,11.585335589396504
