stage,model_path,file_size_bytes,file_size_mb,parameter_count,accuracy,precision,recall,f1_score,precision_normal,recall_normal,avg_latency_ms,min_latency_ms,max_latency_ms,samples_per_second,compression_ratio
Baseline,models/tflite/saved_model_original.tflite,817528,0.7796554565429688,204880,0.18876742712294042,0.17869523038612925,0.9926033979749442,0.3028663887899797,0.9052747252747253,0.015258155093089934,1.8955707550048828,1.8744468688964844,1.947164535522461,52754.55940432169,1.0
Traditional+PTQ,models/tflite/saved_model_no_qat_ptq.tflite,70856,0.06757354736328125,61969,0.2203982645997855,0.18548227939163595,1.0,0.31292290507593495,1.0,0.05211999081324967,0.4857301712036133,0.47707557678222656,0.5278587341308594,205875.61969273057,11.537879643220052
Traditional+QAT,models/tflite/saved_model_traditional_qat.tflite,66600,0.06351470947265625,62048,0.9644450131617432,0.8671257051019443,0.9444482581088038,0.9041368206611027,0.9877737405479721,0.9687613445253636,0.48210620880126953,0.47516822814941406,0.5252361297607422,207423.17392809453,12.275195195195195
QAT+PTQ,models/tflite/saved_model_qat_ptq.tflite,68624,0.0654449462890625,61520,0.17831115335868186,0.17758522883232383,0.9992620559464561,0.30157554538109344,0.8742690058479532,0.0011075961089667128,0.4749774932861328,0.4684925079345703,0.5075931549072266,210536.29153699428,11.913149918395897
QAT+QAT,models/tflite/saved_model_pruned_qat.tflite,66600,0.06351470947265625,62048,0.9619132056156771,0.8742416065675644,0.9174360734511756,0.8953181654510589,0.98198633342694,0.9715136652911237,0.48034191131591797,0.47326087951660156,0.5252361297607422,208185.03995632104,12.275195195195195
