stage,model_path,file_size_bytes,file_size_mb,parameter_count,accuracy,precision,recall,f1_score,avg_latency_ms,min_latency_ms,max_latency_ms,samples_per_second,compression_ratio
Original,models/tflite/saved_model_original.tflite,215612,0.20562362670898438,53844,0.2601,0.0296093306152458,0.6131487889273356,0.05649069115021678,0.4542112350463867,0.4436969757080078,0.5071163177490234,220161.88126607527,1.0
Compressed,models/tflite/saved_model_pruned_quantized.tflite,21648,0.0206451416015625,18772,0.03835,0.036205557365137434,1.0,0.06988103298191314,0.652766227722168,0.6384849548339844,0.7112026214599609,153194.19993425618,9.95990391722099
