stage,model_path,file_size_bytes,file_size_mb,parameter_count,accuracy,precision,recall,f1_score,precision_normal,recall_normal,avg_latency_ms,min_latency_ms,max_latency_ms,samples_per_second,compression_ratio
Original,models/tflite/saved_model_original.tflite,821632,0.7835693359375,205777,0.8847281125085308,0.699533266936161,0.6147417195812597,0.6544022945458864,0.9189616521729713,0.9430051045733717,1.9037723541259766,1.863718032836914,1.9865036010742188,52527.28866624922,1.0
QAT+Prune only,models/tflite/saved_model_qat_pruned_float32.tflite,248228,0.23672866821289062,61969,0.7789984888368919,0.44539275271352247,0.9985755963617642,0.6160222749216566,0.999579921247887,0.7316024211532335,0.7691383361816406,0.7579326629638672,0.8141994476318359,130015.62306261624,3.3099892034742253
Compressed (PTQ),models/tflite/saved_model_pruned_quantized.tflite,70920,0.06763458251953125,61969,0.7784714097689382,0.44480457432902454,0.9985927578513815,0.6154627235082264,0.999584614527347,0.7309578668958415,0.48432350158691406,0.4696846008300781,0.5655288696289062,206473.56502904402,11.585335589396504
QAT+PTQ,models/tflite/saved_model_qat_ptq.tflite,70904,0.06761932373046875,61969,0.7784714097689382,0.44480457432902454,0.9985927578513815,0.6154627235082264,0.999584614527347,0.7309578668958415,0.4781007766723633,0.46896934509277344,0.5247592926025391,209160.92355258565,11.587949904095678
noQAT+PTQ,models/tflite/saved_model_no_qat_ptq.tflite,70920,0.06763458251953125,61969,0.8224688017938968,0.0,0.0,0.0,0.8224688017938968,1.0,0.4764080047607422,0.46825408935546875,0.5340576171875,209904.1137023321,11.585335589396504
