stage,model_path,file_size_bytes,file_size_mb,parameter_count,accuracy,precision,recall,f1_score,precision_normal,recall_normal,avg_latency_ms,min_latency_ms,max_latency_ms,samples_per_second,compression_ratio
Original,models/tflite/saved_model_original.tflite,821632,0.7835693359375,205777,0.8784610509895681,0.5947945035899975,0.9894800068645958,0.7429738541035785,0.9973496247103179,0.8544974328959749,2.179098129272461,2.1331310272216797,2.264261245727539,45890.54465086763,1.0
QAT+Prune only,models/tflite/saved_model_qat_pruned_float32.tflite,248228,0.23672866821289062,61969,0.7505514526664717,0.4052928479148779,0.8667925175905269,0.5523289828367717,0.9618767896347303,0.7254606340339466,0.8787631988525391,0.8690357208251953,0.9205341339111328,113796.29931086874,3.3099892034742253
Compressed (PTQ),models/tflite/saved_model_pruned_quantized.tflite,70920,0.06763458251953125,61969,0.7509079165447987,0.40552802625651585,0.8651450145872662,0.552212156729579,0.9614637686845305,0.7262496573490298,0.5611896514892578,0.5505084991455078,0.6120204925537109,178192.87959894637,11.585335589396504
QAT+PTQ,models/tflite/saved_model_qat_ptq.tflite,70904,0.06761932373046875,61969,0.7509079165447987,0.40552802625651585,0.8651450145872662,0.552212156729579,0.9614637686845305,0.7262496573490298,0.5512237548828125,0.5404949188232422,0.6110668182373047,181414.5328719723,11.587949904095678
noQAT+PTQ,models/tflite/saved_model_no_qat_ptq.tflite,70920,0.06763458251953125,61969,0.8224688017938968,0.0,0.0,0.0,0.8224688017938968,1.0,0.5567073822021484,0.5452632904052734,0.6105899810791016,179627.58029978588,11.585335589396504
