stage,model_path,file_size_bytes,file_size_mb,parameter_count,accuracy,precision,recall,f1_score,precision_normal,recall_normal,avg_latency_ms,min_latency_ms,max_latency_ms,samples_per_second,compression_ratio
Original,models/tflite/saved_model_original.tflite,821632,0.7835693359375,205777,0.8959247343277762,0.6311580642353556,0.9955551741891197,0.7725426482534524,0.9989039913334913,0.8744193455181253,1.874089241027832,1.8551349639892578,1.9588470458984375,53359.25195598244,1.0
QAT+Prune only,models/tflite/saved_model_qat_pruned_float32.tflite,248228,0.23672866821289062,61969,0.6403797406649118,0.3296954430437459,0.9928093358503518,0.49500723031770616,0.9972570635523318,0.5643072523466961,0.7420063018798828,0.7331371307373047,0.7834434509277344,134769.74487500804,3.3099892034742253
Compressed (PTQ),models/tflite/saved_model_pruned_quantized.tflite,70920,0.06763458251953125,61969,0.6436458028663352,0.3316332384798972,0.9920199073279561,0.4970890985234807,0.9969789501039501,0.5684486986671803,0.47838687896728516,0.46944618225097656,0.5347728729248047,209035.83354099176,11.585335589396504
QAT+PTQ,models/tflite/saved_model_qat_ptq.tflite,70904,0.06761932373046875,61969,0.6436458028663352,0.3316332384798972,0.9920199073279561,0.4970890985234807,0.9969789501039501,0.5684486986671803,0.4744529724121094,0.46706199645996094,0.5159378051757812,210769.04522613066,11.587949904095678
noQAT+PTQ,models/tflite/saved_model_no_qat_ptq.tflite,70920,0.06763458251953125,61969,0.8224688017938968,0.0,0.0,0.0,0.8224688017938968,1.0,0.4791736602783203,0.47016143798828125,0.5240440368652344,208692.60622947555,11.585335589396504
