stage,model_path,file_size_bytes,file_size_mb,parameter_count,accuracy,precision,recall,f1_score,precision_normal,recall_normal,avg_latency_ms,min_latency_ms,max_latency_ms,samples_per_second,compression_ratio
Original,models/tflite/saved_model_original.tflite,821632,0.7835693359375,205777,0.8769681680803354,0.5911555474021076,0.9954178822721812,0.7417832570273935,0.9988396651977784,0.8514006089926431,1.9172191619873047,1.8961429595947266,1.9834041595458984,52158.87780734698,1.0
QAT+Prune only,models/tflite/saved_model_qat_pruned_float32.tflite,248228,0.23672866821289062,61969,0.7819537876572097,0.43783308712156627,0.8036382357988674,0.5668425894543165,0.9482894201654087,0.7772731650577506,0.7742404937744141,0.7574558258056641,0.8392333984375,129158.83476011579,3.3099892034742253
Compressed (PTQ),models/tflite/saved_model_pruned_quantized.tflite,70920,0.06763458251953125,61969,0.7823132982353515,0.4383997008786689,0.8048738630513128,0.567624810892587,0.948608775831209,0.7774435644591301,0.48160552978515625,0.4754066467285156,0.5185604095458984,207638.81188118813,11.585335589396504
QAT+PTQ,models/tflite/saved_model_qat_ptq.tflite,70904,0.06761932373046875,61969,0.7823132982353515,0.4383997008786689,0.8048738630513128,0.567624810892587,0.948608775831209,0.7774435644591301,0.4875659942626953,0.47898292541503906,0.5376338958740234,205100.44009779952,11.587949904095678
noQAT+PTQ,models/tflite/saved_model_no_qat_ptq.tflite,70920,0.06763458251953125,61969,0.8224688017938968,0.0,0.0,0.0,0.8224688017938968,1.0,0.48727989196777344,0.4799365997314453,0.5247592926025391,205220.86309815053,11.585335589396504
