tag,fl_qat,distillation,pruning,ptq,fl_acc,fl_f1,fl_prec,fl_rec,fl_size_kb,dist_acc,dist_f1,prune_acc,prune_f1,final_acc,final_f1,final_prec,final_rec,tflite_size_kb,final_size_kb
yes_qat__distill_direct__prune_10x5__ptq_yes,True,direct,prune_10x5,True,0.92841897225295,0.8047300468202605,0.7517765928161417,0.8657086165803717,847.7265625,0.9286250097517749,0.8040721969326736,0.9534055198046044,0.8665669914703237,0.9382667645511483,0.8306471527583427,0.7797972304648862,0.8885914550385685,1.828125,19.765625
yes_qat__distill_direct__prune_10x5__ptq_no,True,direct,prune_10x5,False,0.92841897225295,0.8047300468202605,0.7517765928161417,0.8657086165803717,847.7265625,0.9286250097517749,0.8040721969326736,0.9548057746509865,0.8693540272822423,0.9548057746509865,0.8693540272822423,,,1.5625,19.765625
yes_qat__distill_direct__prune_10x2__ptq_yes,True,direct,prune_10x2,True,0.92841897225295,0.8047300468202605,0.7517765928161417,0.8657086165803717,847.7265625,0.9286250097517749,0.8040721969326736,0.9444938978894158,0.8469160322189121,0.9379587084849442,0.7967042691120273,0.901837122336321,0.7135242389019995,1.84375,19.765625
yes_qat__distill_direct__prune_10x2__ptq_no,True,direct,prune_10x2,False,0.92841897225295,0.8047300468202605,0.7517765928161417,0.8657086165803717,847.7265625,0.9286250097517749,0.8040721969326736,0.944455890972157,0.8475990274263571,0.944455890972157,0.8475990274263571,,,1.5625,19.765625
yes_qat__distill_direct__prune_5x10__ptq_yes,True,direct,prune_5x10,True,0.92841897225295,0.8047300468202605,0.7517765928161417,0.8657086165803717,847.7265625,0.9286250097517749,0.8040721969326736,0.9567541292515238,0.8736477285346081,0.9207915840683004,0.8054077164634597,0.6926061159287996,0.9621006657039203,1.84375,19.765625
yes_qat__distill_direct__prune_5x10__ptq_no,True,direct,prune_5x10,False,0.92841897225295,0.8047300468202605,0.7517765928161417,0.8657086165803717,847.7265625,0.9286250097517749,0.8040721969326736,0.9575102668685701,0.8766642860046103,0.9575102668685701,0.8766642860046103,,,1.5625,19.765625
yes_qat__distill_direct__prune_none__ptq_yes,True,direct,prune_none,True,0.92841897225295,0.8047300468202605,0.7517765928161417,0.8657086165803717,847.7265625,0.9286250097517749,0.8040721969326736,,,0.9226319190092597,0.7908322472134941,0.7330953717815032,0.8584410552639921,1.84375,13.6015625
yes_qat__distill_direct__prune_none__ptq_no,True,direct,prune_none,False,0.92841897225295,0.8047300468202605,0.7517765928161417,0.8657086165803717,847.7265625,0.9286250097517749,0.8040721969326736,,,0.9286250097517749,0.8040721969326736,,,1.5625,13.6015625
yes_qat__distill_progressive__prune_10x5__ptq_yes,True,progressive,prune_10x5,True,0.92841897225295,0.8047300468202605,0.7517765928161417,0.8657086165803717,847.7265625,0.9325557251419758,0.8128677041937704,0.9553378714926116,0.869929450694133,0.9349361583808253,0.8351110209875291,0.7348488227894403,0.9670552874737299,1.84375,19.765625
yes_qat__distill_progressive__prune_10x5__ptq_no,True,progressive,prune_10x5,False,0.92841897225295,0.8047300468202605,0.7517765928161417,0.8657086165803717,847.7265625,0.9325557251419758,0.8128677041937704,0.9560960094737242,0.8730272596843616,0.9560960094737242,0.8730272596843616,,,1.5625,19.765625
yes_qat__distill_progressive__prune_10x2__ptq_yes,True,progressive,prune_10x2,True,0.92841897225295,0.8047300468202605,0.7517765928161417,0.8657086165803717,847.7265625,0.9325557251419758,0.8128677041937704,0.9541576566935183,0.8669434203268789,0.9427435793314384,0.8211185480998181,0.8778160827387156,0.7713007643267232,1.84375,19.765625
yes_qat__distill_progressive__prune_10x2__ptq_no,True,progressive,prune_10x2,False,0.92841897225295,0.8047300468202605,0.7517765928161417,0.8657086165803717,847.7265625,0.9325557251419758,0.8128677041937704,0.9533355070622853,0.8672675133142156,0.9533355070622853,0.8672675133142156,,,1.5703125,19.765625
yes_qat__distill_progressive__prune_5x10__ptq_yes,True,progressive,prune_5x10,True,0.92841897225295,0.8047300468202605,0.7517765928161417,0.8657086165803717,847.7265625,0.9325557251419758,0.8128677041937704,0.9566241055872169,0.8731128431992136,0.9298352300118622,0.8219799628490514,0.7239252286319628,0.9507590433588109,1.84375,19.765625
yes_qat__distill_progressive__prune_5x10__ptq_no,True,progressive,prune_5x10,False,0.92841897225295,0.8047300468202605,0.7517765928161417,0.8657086165803717,847.7265625,0.9325557251419758,0.8128677041937704,0.9550758237999316,0.8709265836752992,0.9550758237999316,0.8709265836752992,,,1.5703125,19.765625
yes_qat__distill_progressive__prune_none__ptq_yes,True,progressive,prune_none,True,0.92841897225295,0.8047300468202605,0.7517765928161417,0.8657086165803717,847.7265625,0.9325557251419758,0.8128677041937704,,,0.936772492593652,0.8177982222529657,0.803295396636657,0.832834348913388,1.84375,13.6015625
yes_qat__distill_progressive__prune_none__ptq_no,True,progressive,prune_none,False,0.92841897225295,0.8047300468202605,0.7517765928161417,0.8657086165803717,847.7265625,0.9325557251419758,0.8128677041937704,,,0.9325557251419758,0.8128677041937704,,,1.5703125,13.6015625
yes_qat__distill_none__prune_10x5__ptq_yes,True,none,prune_10x5,True,0.92841897225295,0.8047300468202605,0.7517765928161417,0.8657086165803717,847.7265625,,,0.92841897225295,0.8047300468202605,0.92841897225295,0.8047300468202605,0.7517765928161417,0.8657086165803717,206.25,843.65625
yes_qat__distill_none__prune_10x5__ptq_no,True,none,prune_10x5,False,0.92841897225295,0.8047300468202605,0.7517765928161417,0.8657086165803717,847.7265625,,,0.92841897225295,0.8047300468202605,0.92841897225295,0.8047300468202605,,,805.953125,843.65625
yes_qat__distill_none__prune_10x2__ptq_yes,True,none,prune_10x2,True,0.92841897225295,0.8047300468202605,0.7517765928161417,0.8657086165803717,847.7265625,,,0.92841897225295,0.8047300468202605,0.92841897225295,0.8047300468202605,0.7517765928161417,0.8657086165803717,206.25,843.65625
yes_qat__distill_none__prune_10x2__ptq_no,True,none,prune_10x2,False,0.92841897225295,0.8047300468202605,0.7517765928161417,0.8657086165803717,847.7265625,,,0.92841897225295,0.8047300468202605,0.92841897225295,0.8047300468202605,,,805.953125,843.65625
yes_qat__distill_none__prune_5x10__ptq_yes,True,none,prune_5x10,True,0.92841897225295,0.8047300468202605,0.7517765928161417,0.8657086165803717,847.7265625,,,0.92841897225295,0.8047300468202605,0.92841897225295,0.8047300468202605,0.7517765928161417,0.8657086165803717,206.25,843.65625
yes_qat__distill_none__prune_5x10__ptq_no,True,none,prune_5x10,False,0.92841897225295,0.8047300468202605,0.7517765928161417,0.8657086165803717,847.7265625,,,0.92841897225295,0.8047300468202605,0.92841897225295,0.8047300468202605,,,805.953125,843.65625
yes_qat__distill_none__prune_none__ptq_yes,True,none,prune_none,True,0.92841897225295,0.8047300468202605,0.7517765928161417,0.8657086165803717,847.7265625,,,,,0.92841897225295,0.8047300468202605,0.7517765928161417,0.8657086165803717,206.25,843.65625
yes_qat__distill_none__prune_none__ptq_no,True,none,prune_none,False,0.92841897225295,0.8047300468202605,0.7517765928161417,0.8657086165803717,847.7265625,,,,,0.92841897225295,0.8047300468202605,,,805.953125,843.65625
