stage,model_path,file_size_bytes,file_size_mb,parameter_count,accuracy,precision,recall,f1_score,precision_normal,recall_normal,avg_latency_ms,min_latency_ms,max_latency_ms,samples_per_second,compression_ratio
Original,models/tflite/saved_model_original.tflite,821632,0.7835693359375,205777,0.4044615872087355,0.22940990848848217,0.9981122361420971,0.37307161871772665,0.9985275219533091,0.276321151010913,2.122974395751953,2.003192901611328,2.415180206298828,47103.72400161718,1.0
QAT+Prune only,models/tflite/saved_model_qat_pruned_float32.tflite,248228,0.23672866821289062,61969,0.5506178707224335,0.2831113271754983,0.9994165093530119,0.44123195817706556,0.9997225033462832,0.4537439711950925,0.8885860443115234,0.8697509765625,0.9450912475585938,112538.34182988999,3.3099892034742253
Compressed (PTQ),models/tflite/saved_model_pruned_quantized.tflite,70920,0.06763458251953125,61969,0.5487014965389491,0.28224825400210346,0.9994165093530119,0.44018306947494135,0.9997210714139219,0.4514139445979685,0.5818605422973633,0.5440711975097656,0.7443428039550781,171862.48719524688,11.585335589396504
QAT+PTQ,models/tflite/saved_model_qat_ptq.tflite,70904,0.06761932373046875,61969,0.5487014965389491,0.28224825400210346,0.9994165093530119,0.44018306947494135,0.9997210714139219,0.4514139445979685,0.5529165267944336,0.5409717559814453,0.6232261657714844,180859.12638523564,11.587949904095678
noQAT+PTQ,models/tflite/saved_model_no_qat_ptq.tflite,70920,0.06763458251953125,61969,0.8224688017938968,0.0,0.0,0.0,0.8224688017938968,1.0,0.5550861358642578,0.5424022674560547,0.6275177001953125,180152.22059960486,11.585335589396504
