stage,model_path,file_size_bytes,file_size_mb,parameter_count,accuracy,precision,recall,f1_score,precision_normal,recall_normal,avg_latency_ms,min_latency_ms,max_latency_ms,samples_per_second,compression_ratio
Original,models/tflite/saved_model_original.tflite,821632,0.7835693359375,205777,0.6534866432680121,0.32731608901951503,0.9020937017333105,0.48034395789165873,0.9659667124023146,0.5998244145298829,2.239871025085449,2.1381378173828125,2.43377685546875,44645.42774117322,1.0
QAT+Prune only,models/tflite/saved_model_qat_pruned_float32.tflite,248228,0.23672866821289062,61969,0.8025433850053622,0.47333659491193736,0.9962244722841943,0.6417555690674921,0.9989298778115029,0.7607370144543144,0.8424997329711914,0.8230209350585938,0.8859634399414062,118694.39963777344,3.3099892034742253
Compressed (PTQ),models/tflite/saved_model_pruned_quantized.tflite,70920,0.06763458251953125,61969,0.8008920737057619,0.47125391696838825,0.9962244722841943,0.639838635010912,0.9989270490923811,0.7587292649858864,0.5480289459228516,0.5376338958740234,0.6115436553955078,182472.1134603672,11.585335589396504
QAT+PTQ,models/tflite/saved_model_qat_ptq.tflite,70904,0.06761932373046875,61969,0.8008920737057619,0.47125391696838825,0.9962244722841943,0.639838635010912,0.9989270490923811,0.7587292649858864,0.5457639694213867,0.5364418029785156,0.6053447723388672,183229.3914638941,11.587949904095678
noQAT+PTQ,models/tflite/saved_model_no_qat_ptq.tflite,70920,0.06763458251953125,61969,0.8224688017938968,0.0,0.0,0.0,0.8224688017938968,1.0,0.5467891693115234,0.5347728729248047,0.61798095703125,182885.8463416761,11.585335589396504
