stage,model_path,file_size_bytes,file_size_mb,parameter_count,accuracy,precision,recall,f1_score,precision_normal,recall_normal,avg_latency_ms,min_latency_ms,max_latency_ms,samples_per_second,compression_ratio
Original,models/tflite/saved_model_original.tflite,821632,0.7835693359375,205777,0.454378716973774,0.2090005202612868,0.744568388536125,0.32638476179012854,0.8766205776053583,0.3917408151018322,2.0010948181152344,1.9068717956542969,2.1970272064208984,49972.644521755705,1.0
QAT+Prune only,models/tflite/saved_model_qat_pruned_float32.tflite,248228,0.23672866821289062,61969,0.8780863069123526,0.5948735538994044,0.9821692122876265,0.7409646743528163,0.9955218798622515,0.855619846344192,0.8558034896850586,0.7600784301757812,0.9214878082275391,116849.25477085945,3.3099892034742253
Compressed (PTQ),models/tflite/saved_model_pruned_quantized.tflite,70920,0.06763458251953125,61969,0.8748750853075948,0.5886695190473735,0.9798867341685258,0.7354909348533153,0.9949314316110869,0.8522081539817895,0.5424022674560547,0.5338191986083984,0.5884170532226562,184365.01098901097,11.585335589396504
QAT+PTQ,models/tflite/saved_model_qat_ptq.tflite,70904,0.06761932373046875,61969,0.8748750853075948,0.5886695190473735,0.9798867341685258,0.7354909348533153,0.9949314316110869,0.8522081539817895,0.5501747131347656,0.5404949188232422,0.5974769592285156,181760.4437510834,11.587949904095678
noQAT+PTQ,models/tflite/saved_model_no_qat_ptq.tflite,70920,0.06763458251953125,61969,0.8224688017938968,0.0,0.0,0.0,0.8224688017938968,1.0,0.5467891693115234,0.5381107330322266,0.5943775177001953,182885.8463416761,11.585335589396504
