stage,model_path,file_size_bytes,file_size_mb,parameter_count,accuracy,precision,recall,f1_score,precision_normal,recall_normal,avg_latency_ms,min_latency_ms,max_latency_ms,samples_per_second,compression_ratio
Baseline,models/tflite/saved_model_original.tflite,817528,0.7796554565429688,204880,0.17596002472449987,0.17015782907301158,0.9895976424453758,0.2903849830927153,0.8058294981371904,0.008865880945951159,3.2721996307373047,2.6760101318359375,4.300594329833984,30560.482637016743,1.0
Traditional+PTQ,models/tflite/saved_model_no_qat_ptq.tflite,193968,0.1849822998046875,170015,0.21209260085335532,0.17778840072059734,0.9999530367604758,0.3018999680975506,0.9998082638289714,0.050292234095906795,1.3871431350708008,1.0678768157958984,2.442598342895508,72090.6137742562,4.2147570733316835
Traditional+QAT,models/tflite/saved_model_traditional_qat.tflite,175288,0.16716766357421875,170015,0.9682822273653805,0.8875965958017871,0.9318445986404142,0.9091825513196481,0.9858583643937733,0.9757653061224489,1.2887239456176758,1.0886192321777344,2.0825862884521484,77596.13712467393,4.663913103007622
QAT+PTQ,models/tflite/saved_model_qat_ptq.tflite,193944,0.18495941162109375,170015,0.9477384884048897,0.7818122810534254,0.9616310333086776,0.862448403672816,0.9917296391713443,0.9448854210871495,1.2888431549072266,1.0955333709716797,1.642465591430664,77588.96000591958,4.215278637132368
QAT+QAT,models/tflite/saved_model_pruned_qat.tflite,175288,0.16716766357421875,170015,0.9531874801213821,0.8059454586878783,0.955244032733378,0.8742666179536224,0.9904451095102743,0.9527651325180355,1.502084732055664,1.0600090026855469,2.5560855865478516,66574.14050347607,4.663913103007622
