tag,fl_qat,distillation,pruning,ptq,fl_acc,fl_f1,fl_prec,fl_rec,fl_size_kb,dist_acc,dist_f1,prune_acc,prune_f1,final_acc,final_f1,final_prec,final_rec,tflite_size_kb,final_size_kb
no_qat__distill_direct__prune_10x5__ptq_yes,False,direct,prune_10x5,True,0.8241164287630003,0.0,0.0,0.0,864.109375,0.8241164287630003,0.0,0.8241164287630003,0.0,0.8241164287630003,0.0,,,,342.46875
no_qat__distill_direct__prune_10x5__ptq_no,False,direct,prune_10x5,False,0.8241164287630003,0.0,0.0,0.0,864.109375,0.8241164287630003,0.0,0.8241164287630003,0.0,0.8241164287630003,0.0,,,102.48828125,342.46875
no_qat__distill_direct__prune_10x2__ptq_yes,False,direct,prune_10x2,True,0.8241164287630003,0.0,0.0,0.0,864.109375,0.8241164287630003,0.0,0.8241164287630003,0.0,0.8241164287630003,0.0,,,,547.7265625
no_qat__distill_direct__prune_10x2__ptq_no,False,direct,prune_10x2,False,0.8241164287630003,0.0,0.0,0.0,864.109375,0.8241164287630003,0.0,0.8241164287630003,0.0,0.8241164287630003,0.0,,,171.15625,547.7265625
no_qat__distill_direct__prune_5x10__ptq_yes,False,direct,prune_5x10,True,0.8241164287630003,0.0,0.0,0.0,864.109375,0.8241164287630003,0.0,0.8241164287630003,0.0,0.8241164287630003,0.0,,,,340.1328125
no_qat__distill_direct__prune_5x10__ptq_no,False,direct,prune_5x10,False,0.8241164287630003,0.0,0.0,0.0,864.109375,0.8241164287630003,0.0,0.8241164287630003,0.0,0.8241164287630003,0.0,,,101.484375,340.1328125
no_qat__distill_direct__prune_none__ptq_yes,False,direct,prune_none,True,0.8241164287630003,0.0,0.0,0.0,864.109375,0.8241164287630003,0.0,,,0.8241164287630003,0.0,,,,266.7578125
no_qat__distill_direct__prune_none__ptq_no,False,direct,prune_none,False,0.8241164287630003,0.0,0.0,0.0,864.109375,0.8241164287630003,0.0,,,0.8241164287630003,0.0,,,242.21484375,266.7578125
no_qat__distill_progressive__prune_10x5__ptq_yes,False,progressive,prune_10x5,True,0.8241164287630003,0.0,0.0,0.0,864.109375,0.8241164287630003,0.0,0.9740888637244092,0.9248113798992585,0.943905146467205,0.8621387309695788,0.7592718008255934,0.9972467543469513,88.4609375,1022.078125
no_qat__distill_progressive__prune_10x5__ptq_no,False,progressive,prune_10x5,False,0.8241164287630003,0.0,0.0,0.0,864.109375,0.8241164287630003,0.0,0.9905161367225914,0.9735694709741716,0.9905161367225914,0.9735694709741716,,,314.72265625,1022.078125
no_qat__distill_progressive__prune_10x2__ptq_yes,False,progressive,prune_10x2,True,0.8241164287630003,0.0,0.0,0.0,864.109375,0.8241164287630003,0.0,0.9763834669368537,0.9367543194605163,0.9752249903149864,0.9317489148169813,0.9037864309603441,0.9614969184827499,150.296875,1734.01171875
no_qat__distill_progressive__prune_10x2__ptq_no,False,progressive,prune_10x2,False,0.8241164287630003,0.0,0.0,0.0,864.109375,0.8241164287630003,0.0,0.9560523884733438,0.8886939129778483,0.9560523884733438,0.8886939129778483,,,549.86328125,1734.01171875
