stage,model_path,file_size_bytes,file_size_mb,parameter_count,accuracy,precision,recall,f1_score,precision_normal,recall_normal,avg_latency_ms,min_latency_ms,max_latency_ms,samples_per_second,compression_ratio
Original,models/tflite/saved_model_original.tflite,821632,0.7835693359375,205777,0.7611722482207273,0.408250563201722,0.7681654367599108,0.5331514909684297,0.938197389549965,0.7596627573586611,2.2150754928588867,2.1517276763916016,2.5627613067626953,45145.18819895163,1.0
QAT+Prune only,models/tflite/saved_model_qat_pruned_float32.tflite,248228,0.23672866821289062,61969,0.8563084966364434,0.553590211234307,0.9845203363651965,0.708688750393764,0.9959838820988891,0.8286337672344177,0.8521080017089844,0.8327960968017578,0.9391307830810547,117356.01566871852,3.3099892034742253
Compressed (PTQ),models/tflite/saved_model_pruned_quantized.tflite,70920,0.06763458251953125,61969,0.8557509505703422,0.5526143413092899,0.9845203363651965,0.7078885995977344,0.9959806070976597,0.8279558739637123,0.5659580230712891,0.5464553833007812,0.6356239318847656,176691.54941444096,11.585335589396504
QAT+PTQ,models/tflite/saved_model_qat_ptq.tflite,70904,0.06761932373046875,61969,0.8557509505703422,0.5526143413092899,0.9845203363651965,0.7078885995977344,0.9959806070976597,0.8279558739637123,0.5776882171630859,0.5533695220947266,0.6468296051025391,173103.75567478332,11.587949904095678
noQAT+PTQ,models/tflite/saved_model_no_qat_ptq.tflite,70920,0.06763458251953125,61969,0.8224688017938968,0.0,0.0,0.0,0.8224688017938968,1.0,0.5575895309448242,0.5424022674560547,0.6456375122070312,179343.39590370716,11.585335589396504
